id,order,name,date,question,description,document_link,mpw_link,identifier,polarity,,,,,,"redakcja potem
kwestia wyboru, czy to sa te, jsakie powinny byc inne"
1,1,Przymusowe leczenie psychiatryczne za ciężkie przestępstwa,2014-01-22,Należy wprowadzić przymusowe leczenie psychiatryczne po odbyciu kary więzienia dla osób skazanych za ciężkie przestępstwo.,"Wieźniowie po odbyciu kary za ciężkie przestępstwo będą na wniosek dyrektora więzienia podlegać dodatkowo przymusowemu leczeniu psychiatrycznemu, jeśli istnieje podejrzenie, że mogą stanowić zagrożenie dla otoczenia. 
Prezydent podpisał ustawę 13 grudnia 2013 r., ale 4 marca 2014 r. skierował ją do Trybunału Konstytucyjnego. Powód: ustawa ogranicza konstytucyjną wolność osobistą jednostki. TK nadal rozpatruje sprawę.",http://www.sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=1577,"http://mamprawowiedziec.pl/strona/glosowanie/7,52,13",52/13,1,,,,,,
2,2,Wydatki na armię,2015-05-27,Wydatki na obronność państwa powinny wynosić 2 proc. PKB,"Od 2016 r. na finansowanie armii corocznie będzie przeznaczane z budżetu państwa nie mniej niż 2 proc. PKB z poprzedniego roku.
Ustawa obowiązuje.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=3190,"http://mamprawowiedziec.pl/strona/glosowanie/7,93,77",93/77,1,,,,,,
3,3,Zmiany w przepisach drogowych,2015-02-06,Za jazdę z prędkością o 50 km/h wyższą niż dopuszczalna kierowca straci prawo jazdy na 3 miesiące.,"Każdy zatrzymany przez policję kierowca, który przekroczył dozwoloną prędkość o 50 km/h, utraci prawo jazdy na 3 miesiące. Za jazdę po alkoholu (ponad 0,5 promila) grozi kara więzienia i grzywna w wysokości minimum 5 tys. zł na rzecz Funduszu Pomocy Pokrzywdzonym oraz utrata prawa jazdy na okres od 3 do 15 lat.
Ustawa obowiązuje.",http://sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=2586,"http://mamprawowiedziec.pl/strona/glosowanie/7,86,19",86/19,1,,,,,,
4,4,Sześciolatki do szkół,2013-08-30,Dzieci powinny zaczynać naukę w szkole w wieku 6 lat.,"1 września 2015 r. obowiązek szkolny objął wszystkie sześciolatki. 
Ustawa obowiązuje.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=1495,"http://mamprawowiedziec.pl/strona/glosowanie/7,47,41",47/41,1,,,,,,
5,5,OZE i prosumenci,2015-01-16,Należy zezwalać gospodarstwom domowym na produkcję i sprzedaż energii.,"Ustawa o odnawialnych źródłach energii (OZE) umożliwia prosumentom energii, czyli gospodarstwom domowym, które produkują i konsumują energię, jej sprzedaż.
Ustawa obowiązuje.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=2604,"http://mamprawowiedziec.pl/strona/glosowanie/7,84,206",84/206,1,"Ustawa, której uchwalenia wymagało prawo europejskie. ",,,,,
6,6,Lasy Państwowe do Konstytucji,2014-12-17,Lasy Państwowe nie powinny zostać sprywatyzowane.,"Projekt miał gwarantować Lasom Państwowym, stanowiącym własność Skarbu Państwa, ochronę przed prywatyzacją. 
Odrzucony 17 grudnia 2014 r. po III czytaniu. ",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=2374,"http://mamprawowiedziec.pl/strona/glosowanie/7,52,19",83/167,1,Mamy poniżej inną ustaw o lasach - która Twoim zdaniem ciekawsza?,,,,,
7,7,Jawne demonstracje,2013-11-18,Demonstrowanie z zakrytą twarzą powinno być zakazane.,"Projekt zaostrza przepisy dotyczące demonstracji – zakazuje udziału w zgromadzeniach osobom z zasłoniętą twarzą (do tej pory organizatorzy manifestacji byli zobowiązani do poinformowania urzędu, że w zgromadzeniu będą uczestniczyć osoby zamaskowane).
Projekt skierowany do komisji 24 stycznia 2014 r.",http://www.sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=2023,"http://mamprawowiedziec.pl/strona/glosowanie/7,59,30",59/30,-1,,,,,,
8,8,Szesnastolatkowie z prawem głosu,2014-02-21,Szesnastoletni obywatele powinni mieć prawo do głosowania w wyborach do Parlamentu Europejskiego.,"Projekt miał na celu obniżenie progu wieku osób, którym przysługuje czynne prawo wyborcze w wyborach do Parlamentu Europejskiego, do 16. roku życia. 
Odrzucony po I czytaniu 21 lutego 2014 r. ",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=2110,"http://mamprawowiedziec.pl/strona/glosowanie/7,61,32",61/32,-1,,,,,,
9,9,Zakaz dla sondaży wyborczych,,Publikacja sondaży wyborczych w tygodniu poprzedzającym wybory powinna być zakazana.,"Zmiany w kodeksie wyborczym wprowadzają zakaz podawania do publicznej wiadomości wyników sondaży wyborczych na 7 dni przed datą głosowania. 
Projekt skierowany do komisji 24 stycznia 2014 r. ",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=2019,"http://mamprawowiedziec.pl/strona/glosowanie/7,59,46",59/46,-1,,,,,,
10,10,Ubój rytualny,2013-07-12,Gminy żydowskie i muzułmańskie powinny mieć prawo do stosowania uboju rytualnego.,"Ustawa zakazuje krępowania bydła w odwrotnym położeniu (tzw. klatki obrotowe) podczas uboju rytualnego. W 1992 r. ubój rytualny został zabroniony, ale minister rolnictwa w 2004 r. zezwolił na jego stosowanie gminom wyznaniowym – żydowskim i muzułmańskim. Trybunał Konstytucyjny w listopadzie 2012 r. uznał nowe przepisy za niekonstytucyjne. 
Sejm odrzucił ustawę 12 lipca 2013 r.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=1370,"http://mamprawowiedziec.pl/strona/glosowanie/7,45,77",45/77,-1,,,,,,
